Years,Emis
2055,270.7061820792562
2056,268.6508078352614
2057,266.59543359126656
2058,264.5400593472717
2059,262.4846851032769
2060,260.42931085928205
2061,258.2776222900304
2062,256.1259337207788
2063,253.9742451515272
2064,251.82255658227558
2065,249.67086801302395
2066,247.51917944377234
2067,245.36749087452074
2068,243.2158023052691
2069,241.06411373601748
2070,238.91242516676587
2071,236.76764280337068
2072,234.62286043997545
2073,232.47807807658023
2074,230.33329571318504
2075,228.18851334978984
2076,226.04373098639462
2077,223.8989486229994
2078,221.7541662596042
2079,219.609383896209
2080,217.4646015328138
2081,216.02972906563366
2082,214.59485659845356
2083,213.15998413127346
2084,211.72511166409333
2085,210.2902391969132
2086,208.8553667297331
2087,207.420494262553
2088,205.98562179537288
2089,204.55074932819275
2090,203.11587686101265
2091,201.40910263082054
2092,199.70232840062843
2093,197.99555417043632
2094,196.2887799402442
2095,194.5820057100521
2096,192.87523147986002
2097,191.1684572496679
2098,189.4616830194758
2099,187.7549087892837
2100,186.04813455909158
